Width,Depth,w_h,d50,H,L,U,D_d50,ws,KD,Lsat_D,Lsat_d50,Lsat_b_D,Th,Thc,DelTh,ust,P,Ret,Lsat_b,Lsat_s
2.44,0.18,13.6,0.00047,0.076,1.32,0.47,382.9787234,0.066785464,0.856797996,3.431518644,19.12687435,0.049942394,0.082420009,0.032069345,0.050350664,0.025027661,6.671165134,11.76300077,0.008989631,0.617673356
2.44,0.19,12.8,0.00047,0.076,1.39,0.44,404.2553191,0.066785464,0.858852668,3.209718744,17.77804817,0.043977277,0.071205379,0.032069345,0.039136034,0.023262712,7.177308559,10.93347457,0.008355683,0.609846561
0.36,0.194,1.9,0.00053,0.062,1.41,0.68,366.0377358,0.075087776,0.864495,4.439747044,25.28927162,0.069089247,0.154854595,0.031074975,0.12377962,0.03642965,5.15293019,19.30771425,0.013403314,0.861310927
0.61,0.16,15.3,0.00033,0.04,1.16,0.57,484.8484848,0.045295113,0.866646249,6.123587486,29.84431201,0.061553894,0.162299596,0.039650623,0.122648973,0.029428674,3.847872389,9.71146255,0.009848623,0.979773998
1.22,0.3,4.1,0.0004,0.076,2.164,0.99,750,0.056415609,0.871051568,8.618256037,42.07219196,0.056096256,0.36200303,0.03464567,0.32735736,0.048388383,2.914729009,19.35535316,0.016828877,2.585476811
0.36,0.208,1.7,0.00053,0.069,1.5,0.67,392.4528302,0.075087776,0.871268363,4.374328708,24.68698158,0.062904328,0.147566386,0.031074975,0.116491411,0.03556204,5.278646595,18.84788115,0.0130841,0.909860371
0.61,0.19,12.8,0.00032,0.04,1.37,0.55,593.75,0.043648854,0.871390663,6.126680161,28.76261952,0.048442307,0.147990144,0.040646578,0.107343566,0.027672373,3.943360307,8.855159203,0.009204038,1.164069231
1,0.2,5,0.0008,0.077,1.44,0.53,250,0.106910212,0.872664626,2.432183364,14.94223659,0.059768946,0.069210365,0.032465344,0.036745022,0.029921652,8.932512357,23.93732198,0.011953789,0.486436673
1.5,0.1,15,0.00082,0.0409,0.7176,0.594,121.9512195,0.108975174,0.875583237,2.673405414,18.2700608,0.149814499,0.105015699,0.032723529,0.072292171,0.037315482,7.30093579,30.5986949,0.01498145,0.267340541
0.36,0.207,1.7,0.00053,0.069,1.47,0.67,390.5660377,0.075087776,0.884775074,4.374297991,24.70277879,0.063248661,0.147755302,0.031074975,0.116680327,0.035584796,5.275270946,18.85994191,0.013092473,0.905479684
